pcm,en
But di number of players wey dia contracts go expire before City go return back to Champions League na mata wey dey worry.,But the number of players whose contacts will expire before City returns back to Champions League is an issue to worry about.
Striker Sergio Aguero dey top of dat list.,Striker Sergio Aguero is on top of that list.
Im deal go expire for 2021.,His deal expires in 2021.
Leroy Sane deal go ends at the same time.,Leroy Sane's deal will ends at the same time.
John Stones deal dey expire one year later.,John Stones' deal will expire a year later.
Di same for Nicolas Otamendi.,The same for Nicolas Otamendi.
"And what about di stars wey dia contract dey go pass 2022, like Kevin de Bruyne, Ederson, Bernardo Silva, Raheem Sterling, Bernardo Silva and Riyad Mahrez?","And what about the stars whose contracts are after 2022, like Kevin de Bruyne, Ederson, Bernardo Silva, Raheem Sterling, Bernardo Silva and Riyad Mahrez?"
"If Guardiola leave, e go easy to see plenti players follow am waka, and e fit make Man City begin build im team from di scratch.","If Guardiola leaves, it will be easy to see many players leave too, and it could make Man City begin building their team from scratch."
"Manchester United brand new player, Odion Ighalo say im dey so desperate to play for di club sotey im agree to half im salary to make di deal happun and im no sleep di night di agreement take place.","Manchester United brand new player, Odion Ighalo says he is so desperate to play for the club, he agreed to half his salary to make the deal happen and he never slept the night the agreement took place."
Ighalo wey be 30-year-old from Nigeria tok say im mama also cry wen she hear di news and pipo trow party for di street wey im grow up.,Ighalo who is 30-year-old from Nigeria said his mom also cried when she heard the news and people held parties  in the streets where he grew up.
Di former Watford striker join di red devil on load from Shanghai Shenhua until di end of di season.,The former Watford striker joins the red devil on loan from Shanghai Shenhua until the end of the season.
"Some few oda clubs bin show interest, I tell my former club say 'abeg, just pick United, if e go dey possible', Ighalo tok inside statement ontop di club website.","Some few other clubs have shown interest, I told my former club that 'please, just pick United, if it will be possible', Ighalo said in a statement on the club's website."
"At 11pm inside Shanghai, my agent call me [to say] United want to do di deal, so I wake up dat night and start to dey look for translator to go di directors' room and knock im door.","At 11pm in Shanghai, my agent called me [to say] United want to do the deal, so I wake up that night and started looking for a translator to go to the directors' room and knock his door."
"My agent want to speak to you, United dey come for me, you need to make dis happun'.","My agent wants to speak to you, United is coming for me, you need to make this happen'."
"Both Ighalo, im agent and di clubs spent di night dey negotiate and sign paper work so dat everi-everi go set before di deadline of 07:00 Shanghai time.","Both Ighalo, his agent and the clubs spent the night negotiating and signed paper work so that everything will be set before the deadline of 07:00 Shanghai time."
"Meanwhile, oda clubs dey call to ask Ighalo to sign for dem.","Meanwhile, opther clubs were calling to ask Ighalo to sign with them."
I tell my agent say 'dis na wetin I want.,I told my agent that 'this is what I want.
"I want to come here', Ighalo add.","I want to come here', Ighalo added."
He tell me say: 'You go need to agree make dem reduce your salary for you to fit go United'.,He replied me saying: 'You will need to agree to them reducing your salary for you to be at United'.
I come reply say: 'I no care oh.,I replied: 'I do not care.
Make dis deal happun.,Make this deal happen.
I want to go join United.,I want to join United.
"I no care how much be di pay-cut, I know dat, make e just happun'.","I do not care how much the pay-cut is, all I know is, make it happun'."
"Ighalo say e don tey wey im na Manchester United fan, na since wen im be small boy and e dey happy say im dream to play for di Old Trafford club don come through.","Ighalo said it has been a long that hr has been a Manchester United fan, since when he was a small boy and he is happy his dream of playing at the Old Trafford club has come through."
"I call my mama and she dey happy, she even cry e tok.","I called my mom and she was happy, he said she was crying."
"I know many pipo use to say wen dem join a team, dem go say na dia dream to play for dat team.","I know many people say this when they joined a team, they would say it is their dream to play at that club."
My own no be di case.,Mine is not the case.
I support di team wen I dey young.,I supported the team when I was young.
"Pipo wey know me, even back den for Nigeria, and even wen I dey play for Watford, my team-mates know say I love Manchester United, I support dem.","People who know me, even back in Nigeria, and even when I played for Watford, my team-mates knew I love Manchester United, I supported them."
Manchester United striker Odion Ighalo go miss di club training camp for Spain sake of fear of coronavirus outbreak wey fit make immigration for UK no allow enta back inside di kontri.,Manchester United striker Odion Ighalo will miss the club's training camp in Spain because of the fear of corona virus outbreak which could make immigration in the UK not allow him back into the country.
Di Nigerian striker fly from China come Manchester last weekend afta di club sign am on loan from Shanghai Shenhua.,The Nigerian striker flew from China to Manchester last weekend after the club signed him on loan from Shanghai Shenhua.
"United manager Ole Gunnar Solskjaer tell MUTV say Im for like come with di players so dat im go get to know dem,.",United manager Ole Gunnar Solskjaer told MUTV that he would like to have come with the players so he wouold get to know them.
But di risk [of border restrictions wey don tight now] sake of di coronavirus we know want take chances.,But the risk [of border restrictions that's tight now] as a result of the corona virus we know want take chances.
"Meanwhile, midfielder Scott McTominay and defender Axel Tuanzebe, wey get injury, go travel go Spain.","Meanwhile, midfielder Scott McTominay and defender Axel Tuanzebe, who are injured, will travel to Spain."
"Tori be say United go return back on Friday before dia Premier League game against Chelsea for Stamford Bridge on Monday, 17 February.","Report is that United will return on Friday before their Premier League game against Chelsea at the Stamford Bridge on Monday, 17 February."
Dis na one of di longest running transfers of di window and yes but Manchester United don get dia man - Bruno Fernandes don sign five-and-a-half year deal from Sporting Lisbon.,This is one of the longest running transfers of the window and yes but Manchester United has got their man - Bruno Fernandes has signed five-and-a-half year deal from Sporting Lisbon.
United boss Ole Gunnar Solskjaer say: We don dey track Bruno for many months and everyone hia dey very impressed wit all im attributes and wetin im go bring to dis team.,United boss Ole Gunnar Solskjaer said: We have been tracking Bruno for many months and everyone here are very impressed with all his attributes and what he will bring to this team.
Most importantly him na correct human being wit a great personality and im leadership qualities dey clear for all to see.,Most importantly he is a good human being with a great personality and his leadership qualities is clear for all to see.
"United go pay initial fee of around 55m euros (£47m) for di 25-year-old, plus oda add-ons wey fit increase di overall cost to 80m euros (£67.6m).","United will pay initial fee of around 55m euros (£47m) for the 25-year-old, plus another add-ons which could increase the overall cost to 80m euros (£67.6m)."
Fernandes move dey subject to im medical and agreement of personal terms.,Fernandes move is subjected to his medical and agreement of personal terms.
Tori be say di two clubs don dey negotiate throughout di transfer window until Tuesday wey dem get breakthrough afta reports begin fly up and down say Barcelona sef dey interested.,Story is that the two clubs have been negotiating throughout the transfer window until Tuesday when they had a breakthrough after reports began to fly that Barcelona is also interested.
"Belle dey sweet me well-well say we don agree [deal] with Sporting, na wetin United manager Ole Gunnar Solskjaer tok.","I am happy that we have agreed [deal] with Sporting, said the United manager Ole Gunnar Solskjaer."
"Di negotiation between di club dey good and we know say from time, dis two clubs don dey good to each oda.","The negotiation between the clubs are good and we know that from time, this two clubs have been good to each other."
"Now wey we don reach agreement, hopefully we fit settle di boy contract mata and finish im medical, hopefully we fit announce it.","Now that we have reached an agreement, hopefully we will settle the boy's contract issue and finish his medical, hopefully we can announce it."
"Fernandes join Sporting from Sampdoria for £7.2m for 2017 but before den, im no really dey popular for im homeland.","Fernandes joined Sporting from Sampdoria for £7.2m in 2017 but before then, he was not really popular in his homeland."
"Wetin surprise me be say nobody really look im side until Jorge Jesus, di current Flamengo boss decided to sign am, na wetin Portuguese football writer Jose Delgado.","What surprises me is that nobody really looked at him until Jorge Jesus, the current Flamengo boss decided to sign him, that was what Portuguese football writer Jose Delgado."
"Pipo for media dey ask why Benfica, Sporting or Porto no go for Fernandes because im be fantastic player.","People in the media were asking why Benfica, Sporting or Porto did not go for Fernandes because he is a fantastic player."
"Since 2017-18 season start, Fernandes don top di Portuguese Primeira Liga rankings for di most goal involvement (67), most goals outside di penalty area (9), most chances created (239), most shots (271) and most shots on target (114).","Since 2017-18 season started, Fernandes has top the Portuguese Primeira Liga rankings for the most goal involvement (67), most goals outside the penalty area (9), most chances created (239), most shots (271) and most shots on target (114)."
And dat na before you get to di 32 goals wey im score for all competitions last term for Sporting or di 14 goals im score for 28 matches wey im play for club and country dis season.,And that is before you get to the 32 goals which he scored in all competitions last term for Sporting or the 14 goals he scored for 28 matches which he played for club and country this season.
"Fernandes na di shinning light for Sporting, even though im bin struggle and e help Portugal to win Nation League for June 2019 - di big question now na whether im fit deliver for United?","Fernandes is the shinning light in Sporting, even though he had struggled and he helped Portugal win Nation League in June 2019 - the big question now is whether he can deliver for United?"
"Na good player wey get potential to grow, na wetin Italian football writer Danielle Vieri tok.","He is a good player with potential to grow, the Italian football writer Danielle Vieri said."
Wetin im don do for Portugal don show say if fit do di same for bigger stage.,What he has done for Portugal has shown that he can do the same on a bigger stage.
"Di pressure go increase, im opponents go dey stronger and im team-mates go dey better.","The pressure will increase, his opponents will be stronger and his team-mates will be better."
I no think say I fit say im don prove im self for di big European league yet but dat na di challenge.,I do not think that I can he has proven himself in the big European league yet but that is the challenge.
"For Italy, im do well.","In Italy, he did well."
"For Portugal im shine wella, so now na di right time to buy dis kain player.","In Portugal he shines, so this is the right time to buy this sort of player."
"Di wife of late Kobe Bryant, Vanessa share foto of her daughter Gianna Gigi Bryant, for social media on Saturday night.","The wife of the late Kobe Bryant, Vanessa shares photo of her daughter Gianna Gigi Bryant, on the social media on Saturday night."
"For di foto wey dem use illustration do, her daughter wear Los Angeles Lakers jersey, with her papa jersey number, 24.","In the photo they used for illustration, her daughter wore Los Angeles Lakers jersey, with her father jersey number, 24."
"Vanessa post for her official Instagram say she dey happy once again as she see foto of her 'baby girl,' dey smile with basketball under her arm.","Vanessa post on her official Instagram that she is happy once again as she sees the photo of her 'baby girl,' smiling with a basketball under her arm."
Di post don already get ova 2.3m likes.,The post already got over 2.3m likes.
"LA Lakers legend Kobe Bryant and im daughter Gianna plus seven oda die for helicopter crash for di city of Calabasa, California on Sunday 26 January .","LA Lakers legend Kobe Bryant and his daughter Gianna plus seven others died in an helicopter crash in the city of Calabasa, California on Sunday 26 January ."
"Kobe and Vanessa get four daughters togeda including Gianna, wey be 13 years old wey also die for di Helicopter crash.","Kobe and Vanessa have four daughters together including Gianna, who is 13 years old who also died in the Helicopter crash."
Dis her post dey come afta fans and celebs honour Kobe for LA Lakers first basketball game for staple centre against Portland Trail Blazers.,This her post came after fans and celebs honoured Kobe in the LA Lakers first basketball game at staple centre against Portland Trail Blazers.
Football fans shock as Manchester United sign Nigeria striker Odion Ighalo from Chinese club Shanghai Shenhua on loan until di end of di season.,Football fans were shocked as Manchester United sign Nigeria striker Odion Ighalo from Chinese club Shanghai Shenhua on loan until the end of the season.
Ighalo deal with United no include option to buy afta im loan deal end wit di club.,Ighalo deal with United did not include an option to buy after his loan deal ends with the club.
Di 30-year-old Nigerian player still dey China but dem expect am to travel come UK in di next few days.,The 30-year-old Nigerian player is still in China but he is expected to travel to the UK in the next few days.
Ighalo bin play for Watford for 2014 and 2017 wia im score 39 goals for 99 matches.,Ighalo played for Watford in 2014 and 2017 where he scored 39 goals in 99 matches.
Tori be say dis na United first senior loan signing since Radamel Falcao for 2014.,Report had it that this is United first senior loan signing since Radamel Falcao in 2014.
"Manchester United manager Ole Gunnar Solskjaer say Odion na experienced player,   Im go come, come give us different option to type of strikers wey we get for di short time wey im go stay with us.","Manchester United manager Ole Gunnar Solskjaer says Odion is an experienced player, he will come, and give us different option to the type of strikers we have in the short time he would stay with us."
"Na correct pesin in be and im dey very professional, im go make use of im time here well.","He is a good person and he is very professional, he will make use of his time here well."
"Ighalo move go Chinese Super League for 2017, first with Changchun Yatai.","Ighalo moved to Chinese Super League in 2017, first with Changchun Yatai."
After two seasons im move go Shanghai Shenhua and im don score 10 times for 19 games.,After two seasons he moved to Shanghai Shenhua and he has scored 10 times in 19 games.
United na one of di most popular clubs for Nigeria and as soon as fans hear di tori about Ighalo move dem begin chook mouth ontop di mata for social media.,United is one of the most popular clubs in Nigeria and as soon as the fans heard the story about Ighalo move they began to talk about it on the social media.
Most of dem dey surprise say di Red Devils sign Ighalo.,Most of them are surprised that the Red Devils signed Ighalo.
"Ighalo na di third player wey Manchester United sign for dis January transfer window,  afta dem sign Bruno Fernandes from Sporting Lisbon and Southend goalkeeper Nathan Bishop.","Ighalo is the third player whom Manchester United signed in the January transfer window,  after signing Bruno Fernandes from Sporting Lisbon and Southend goalkeeper Nathan Bishop."
David Barmasai from Kenya don win di 2020 Lagos City Marathon.,David Barmasai from Kenya has won the 2020 Lagos City Marathon.
Oga Tumo use two hour 10 mins take finish di 42km race wey start from National Stadium Surulere and end for Eko Atlantic on Saturday 8 February Im fellow kontri woman Sharon Cherop carry first for female category.,Boss Tumo used two hour 10 mins to finish the 42km race which started from National Stadium Surulere and ended at Eko Atlantic on Saturday 8 February his fellow country woman Sharon Cherop took first in the female category.
"Both male and female 42km runners bin dey compete for the grand prize of $50,000 while di second and third place winners go pocket $40,000 and $30,000 respectively.","Both male and female 42km runners competed for the grand prize of $50,000 while the second and third place winners will go with $40,000 and $30,000 respectively."
Dis na di fourth edition of di marathon wey start for Nigeria commercial capital city  for 2016.,This is the fourth edition of the marathon which started in Nigeria commercial capital city in 2016.
West Ham don sack manager Manuel Pellegrini afta dem chop 2-1 home defeat at di hand of Leicester City - dia number 9 loss for di last 12 matches.,West Ham has sacked manager Manuel Pellegrini after he lost 2-1 home defeat to Leicester City - their 9th loss in the last 12 matches.
Di Hammers last defeat on Saturday don carri dem down to 17th position for di relegation zone of Premier League.,The Hammers last defeat on Saturday has taken them to 17th position in the relegation zone of the Premier League.
Former West Ham boss David Moyes dey among di candidates wey dem dey consider to replace Pellegrini.,Former West Ham boss David Moyes is among the candidates who is being considered to replace Pellegrini.
"Na wit great disappointment we don decide to do dis, tok joint-chairman David Sullivan.","We decided to do this with great disappointment , the joint-chairman David Sullivan said."
E don dey clear say we need change in order to bring di club back on track to wetin we desire for dis season.,It is clearer that we need to change in order to bring the club back on track to what we desire for this season.
We feel say e dey necessary to act now in order to give di new manager time to try and achieve that goal.,We felt it is necessary to act now in order to give the new manager time to try and achieve that goal.
"Pellegrini lose im West Ham job 18 months afta dem employ am for 2018 on three-year deal, and dem tell am about im sack small time afta e do post-match interview finish on Saturday.","Pellegrini lose his West Ham job 18 months after he was employed in 2018 on a three-year deal, and he was told about his sack a bit after he did post-match interview on Saturday."
Na within two hours of losing to Leicester na im West Ham make di announcement.,It was within two hours of losing to Leicester that West Ham made the announcement.
Conor McGregor retun to di octagon ring wit first-round victory over American fan favourite Donald 'Cowboy' Cerrone for Las Vegas.,Conor McGregor returned to the octagon ring with first-round victory over American fan favourite Donald 'Cowboy' Cerrone in Las Vegas.
Na just 40 seconds McGregor use defeat am.,McGregor defeated him in just 40 seconds.
"Irishman McGregor, 31, claim victory for wetin sabi pipo say fit be im best performance of im career.","Irishman McGregor, 31, claimed victory on what professionals said was his best performance of his career."
Two of UFC fighters wey popular pass enta same trouser for di main event area of T-Mobile Arena.,Two of UFC fighters who are the most popular got into a fight aty the main event area of T-Mobile Arena.
But referee Herb Dean step inside and wave say di contest contest don end afta blow afta blow land ontop 'Cowbow' I make history tonight.,But referee Herb Dean stepped in and waved that the contesthas ended after several punches landed on 'Cowbow' I make history tonight.
I set new record.,I set a new record.
"Na me be di first fighter in UFC history to give knockout victory for featherweight, lightweight and now welterweight - across three weight divisions, so I dey very proud of that, tok McGregor.","I am the first fighter in UFC history to give knockout victory in featherweight, lightweight and now welterweight - across three weight divisions, so I am very proud of that, said McGregor."
"Di last time im win inside UFC octagon ring na wen e get im second UFC world title for November 2016, and afta undefeated UFC lightweight champion Khabib Nurmagomedov defeat am for UFC 229 for October 2018.","The last time he won at UFC octagon ring was when he got his second UFC world title in November 2016, and after undefeated UFC lightweight champion Khabib Nurmagomedov defeated him at UFC 229 in October 2018."
I like dis weight division.,I like this weight division.
I feel really good.,I feel really good.
"God willing, I come out with no injury.","God willing, I will be out with no injury."
I dey in shape.,I am in shape.
"Although, I no believe say I don reach dia.","Although, I do not believe I have gotten there."
I still work to do to return to how I be before.,I still have works to do then return to how I was before.
Sadio Mane and Asisat Oshoala na dem be African Player of di Year for men and women.,Sadio Mane and Asisat Oshoala are the African Player of the Year for men and women.
Senegal and Liverpool forward Mane beat both Egypt player Mohammed Salah and Algeria winger Riyad Mahrez to win di award wey dem do for Egypt on Tuesday.,Senegal and Liverpool forward Mane beat both Egypt player Mohammed Salah and Algeria winger Riyad Mahrez to win the award which was done in Egypt on Tuesday.
Na di first time CAF go name Mane as di African Footballer of the Year afta e come out third for di two editions.,It's the first time CAF will name Mane as the African Footballer of the Year after he came out third at the two editions.
"For di women category, Asisat Oshoala beat Ajara Nchout from Cameroon and Thembi Kgatlana from South Africa to win her fourth African Women's Player of the Year.","At the women category, Asisat Oshoala beat Ajara Nchout from Cameroon and Thembi Kgatlana from South Africa to win her fourth African Women's Player of the Year."
Mohamed Salah (Egypt & Liverpool) Riyad Mahrez (Algeria & Manchester City) Sadio Mane (Senegal & Liverpool) - Winner Ajara Nchout (Cameroon & Valerenga)  Asisat Oshoala (Nigeria & Barcelona) - Winner Thembi Kgatlana (South Africa & Beijing Phoenix FC) Anice Badri (Tunisia & Esperance) Tarek Hamed (Egypt & Zamalek) Youcef Belaïli (Algeria & Esperance / Ahli Jeddah) - Winner Achraf Hakimi (Morocco & Borussia Dortmund) - Winner Samuel Chukwueze (Nigeria & Villarreal) Victor Osimhen (Nigeria & Lille) Aliou Cisse (Senegal - Senegal) Djamel Belmadi (Algeria - Algeria) - Winner Moïne Chaâbani (Tunisia - Esperance) Alain Djeumfa (Cameroon) Desiree Ellis (South Africa) - Winner Thomas Dennerby (Nigeria)  Algeria - Winner Madagascar Senegal Cameroon - Winner Nigeria South Africa Riyad Mahrez goal against Nigeria for Afcon 2019 semi final Kodjovi Obilale Egypt Football Federation  Mois Katumbi - President of TP Mazembe,Mohamed Salah (Egypt & Liverpool) Riyad Mahrez (Algeria & Manchester City) Sadio Mane (Senegal & Liverpool) - Winner Ajara Nchout (Cameroon & Valerenga)  Asisat Oshoala (Nigeria & Barcelona) - Winner Thembi Kgatlana (South Africa & Beijing Phoenix FC) Anice Badri (Tunisia & Esperance) Tarek Hamed (Egypt & Zamalek) Youcef Belaïli (Algeria & Esperance / Ahli Jeddah) - Winner Achraf Hakimi (Morocco & Borussia Dortmund) - Winner Samuel Chukwueze (Nigeria & Villarreal) Victor Osimhen (Nigeria & Lille) Aliou Cisse (Senegal - Senegal) Djamel Belmadi (Algeria - Algeria) - Winner Moïne Chaâbani (Tunisia - Esperance) Alain Djeumfa (Cameroon) Desiree Ellis (South Africa) - Winner Thomas Dennerby (Nigeria)  Algeria - Winner Madagascar Senegal Cameroon - Winner Nigeria South Africa Riyad Mahrez goal against Nigeria for Afcon 2019 semi final Kodjovi Obilale Egypt Football Federation  Mois Katumbi - President of TP Mazembe
"As 2019 don end, Former Chelsea and Ghana star Michael Essien don choose im best 11 African players from 2010 to 2019.","As 2019 ended, Former Chelsea and Ghana star Michael Essien has choosen his best 11 African players from 2010 to 2019."
"Di last 10 years see significant moments for African football, starting wit di World Cup wey happun for di first time for African soil as South Africa host am for 2010.","The last 10 years has seen significant moments in African football, starting with the World Cup which took place for the first time on African soil as South Africa hosted it in 2010."
Di decade also end wit di 2019 Africa Cup of Nations wey hold for June and July for di first time instead of di usual January to February calendar.,The decade also ended with the 2019 Africa Cup of Nations which was held in June and July for the first time instead of the usual January to February calendar.
Essien own decade see am win European Champions League title and one FA Cup wit Chelsea as well as runners-up medal for di 2010 Africa Cup of Nations.,Essien's decade saw him win European Champions League title and one FA Cup with Chelsea as well as runners-up medal at the 2010 Africa Cup of Nations.
We ask Essien who be im top players from di last decade.,We ask Essien who is his top players from the last decade.
Enyeama na one of di few African goalkeepers to enjoy successful career for Europe.,Enyeama was one of the few African goalkeepers to enjoy successful career in Europe.
Im win di Israeli League title with Maccabi Tel Aviv for 2013.,He won the Israeli League title with Maccabi Tel Aviv in 2013.
"Im go on to keep 11 consecutive clean sheets while with Lille and bin dey 115 minutes away from beating Ligue 1 all-time record of minutes-of-clean-sheets set by Gaetan Huard for 1993 wia e play 1,176 minutes without conceding one goal.","He went on to keep 11 consecutive clean sheets while with Lille and in 115 minutes away from beating Ligue 1 all-time record of minutes-of-clean-sheets set by Gaetan Huard in 1993 where he played 1,176 minutes without conceding a goal."
"For national team level, Enyeama help Nigeria win di Africa Cup of Nations for 2013, as di Super Eagles end 19-year wait for di trophy.","At the national team level, Enyeama helped Nigeria win the Africa Cup of Nations in 2013, as the Super Eagles ended 19-year wait for the trophy."
Vincent Enyeama arguably be Nigeria best player for di 2014 World Cup wen dem qualify to di knockout stage.,Vincent Enyeama arguably was Nigeria best player at the 2014 World Cup when they qualified to the knockout stage.
Di former Manchester City captain bin be key member of di Ivory Coast side wey win di Africa Cup of Nations for 2015.,The former Manchester City captain was a key member of the Ivory Coast side that won the Africa Cup of Nations in 2015.
"For club level, he was one of di first signings by Manchester City owners Sheikh Mansour which serve as star attraction for other big name players to arrive.","At the club level, he was one of the first signings by Manchester City owners Sheikh Mansour which serves as star attraction at other big name players to arrive."
"Kolo's acquisition signal shift in power for City because im come from direct rival, Arsenal.","Kolo's acquisition signal shifted in power for City because he comes from a direct rival, Arsenal."
"After a stint with Liverpool wey see am reach di final of di Europa League im end e club career for Celtic, wia e no only did he win the Scottish League titles but also bin be part of di team wey go unbeaten for di league just as im do with Arsenal for 2003-4.","After a stint with Liverpool which saw him to the final of the Europa League he ended his club career in Celtic, where he didnt only win the Scottish League titles but also was part of the team that was unbeaten in the league just as he did with Arsenal in 2003-4."
Di Cameroonian peak for Tottenham for di beginning of di decade and na one of di best left backs for Premier League under Harry Redknapp.,The Cameroonian peak for Tottenham at the beginning of the decade and he is one of the best left backs in Premier League under Harry Redknapp.
"E impressive performances na di main reason why Gareth Bale, wey be left-back before, move to play advanced role.","His impressive performances was the main reason Gareth Bale, who was a left-back, moved to play advanced role."
E form deadly partnership with Bale and dem become problem for right-backs for di Premier League.,He formed deadly partnership with Bale and they became a menace for right-backs in the Premier League.
"Unfortunately for Assou-Ekotto, knee surgery mean say im career go pay di price but e be pesin wey pass expectations and become di best African left-back for Premier League.","Unfortunately for Assou-Ekotto, knee surgery mean that his career will pay the price but he is someone who passes expectations and become the best African left-back in Premier League."
"Benatia bin be big influence for Italian Serie A side Udinese, but na for AS Roma wia di world take notice of am.","Benatia is a big influence in Italian Serie A side Udinese, but it was at AS Roma that the world take notice of him."
Dem name am as di club player-of di-season for 2014 before e join Pep Guardiola Bayern Munich for di end of dat season.,He was named as the club's player-of the-season in 2014 before he joined Pep Guardiola's Bayern Munich at the end of that season.
Benatia move to Juventus for 2016 wia e help dem win three Serie A titles.,Benatia moved to Juventus in 2016 where  he help win three Serie A titles.
Koulibaly na di best defender for Italy for di last three seasons.,Koulibaly is the best defender in Italy in the last three seasons.
Im help Senegal to reach dia first Africa Cup of Nations final for over 10 years dis year and many pipo regard am as one of di best centre-backs for modern day football.,He helped Senegal to reach their first Africa Cup of Nations final in over 10 years this year and many peoplr regarded him as one of the best centre-backs in modern day football.
Di only reason e still dey Napoli na say di club owner turn down many offers from top European outfits so far.,The only reason he is still at Napoli is because the club owner turned down many offers from top European outfits so far.
Essien prowess begin to die down just for di turn of di decade with injuries taking dia toll but e bin still dey important for Ghana as dem qualify for di World Cup for 2014 and - e insists say im deserve place for e team of di decade!,Essien prowess begin to wane just at the turn of the decade with injuries taking tolls but he was still important for Ghana as they qualify for the World Cup in 2014 and - he insisted that he deserves a place in the team of the decade!
For club level im play key role and help spark di come-back against Napoli which help Chelsea win dia first Champions League for 2012.,At the club level he played a key role and help spark the come-back against Napoli which help Chelsea win their first Champions League in 2012.
Yaya don win di Confederation of African Football (Caf) African Player of the Year award four times in di last 10 years.,Yaya has won the Confederation of African Football (Caf) African Player of the Year award four times in the last 10 years.
"E also score 79 goals for Manchester City, di most by any midfielder for di club during dat period.","He also scored 79 goals for Manchester City, the most by any midfielder in the club during that period."
"Toure win di Premier League three times, one FA Cup, two League Cups and before e move to England e bin don win di 2010 La Liga with Barcelona.","Toure won the Premier League three times, one FA Cup, two League Cups and before he moved to England he has won the 2010 La Liga with Barcelona."
E also captain Ivory Coast to dia Africa Cup of Nations crown for 2015.,He also captained Ivory Coast to their Africa Cup of Nations crown in 2015.
Di Liverpool star don be breath of fresh air for di last few years and many see am as one of di best players of dis generation.,The Liverpool star has been a breath of fresh air in the last few years and many see him as one of the best players of this generation.
"E don score 73 goals to help Jurgen Klopp men and bin dey instrumental in helping dem reach two European Champions League finals, winning di last edition.","He has scored 73 goals to help Jurgen Klopp men and has been instrumental in helping them reach two European Champions League finals, winning the last edition."
From im days for Salzburg through to Southampton and Liverpool - plus e performances for di national team - im don score more than 150 career goals with more than 60 assists.,From his days at Salzburg through to Southampton and Liverpool - plus his performances at the national team - he has scored more than 150 career goals with more than 60 assists.
Di Egyptian King na di only African player to make di Fifa Best top 3 dis decade.,The Egyptian King is the only African player to make the Fifa Best top 3 this decade.
Salah don exceed expectations for Liverpool wia e win di Premier League Golden Boot for di two seasons with di club so far.,Salah has exceeded expectations for Liverpool where he won the Premier League Golden Boot for the two seasons with the club so far.
Im be di reigning Caf footballer of di year afta im retain di crown for 2019.,He is the reigning Caf footballer of the year after he retained the crown in 2019.
Mohamed Salah don net more than 202 goals for club and kontri dis decade.,Mohamed Salah has scored more than 202 goals for club and country this decade.
For di beginning of di decade Drogba reach im career high of 37 goals to help Chelsea win domestic Cup double and also win e second Premier League Golden Boot.,At the beginning of the decade Drogba reach his career high of 37 goals to help Chelsea win domestic Cup double and also win his second Premier League Golden Boot.
"For di year 2012, Didier Drogba cement e legendary status for European football as im score di equaliser and di winning penalty as Chelsea lift di European Champions League for di first time ever.","In theyear 2012, Didier Drogba cemented his legendary status in European football as he scored the equaliser and the winning penalty as Chelsea lifted the European Champions League for the first time ever."
"E trophy winning continue afta e leave  Chelsea with three more for Turkey as e help Galatasaray win di league, FA Cup and Super Cup.","His trophy winning continue after he left Chelsea with three more for Turkey as he helped Galatasaray win the league, FA Cup and Super Cup."
As e end im career for north America e show say e still get dat scoring touch for body as e finish as top-scorer for Major League Soccer side Montreal Impact and den made it into The MLS All-Star team one year later.,As he ended his career in North America he show that he still has that scoring touch in his body as he finish as top-scorer in the Major League Soccer side Montreal Impact and then made it into The MLS All-Star team one year later.
"Arguably di greatest African Player of all time, Samuel Eto'o win e second treble for di start of di decade with Inter Milan under Jose Mourinho.","Arguably the greatest African Player of all time, Samuel Eto'o wins his second treble at the start of the decade with Inter Milan under Jose Mourinho."
Di following season e be Inter Milan top scorer with 37 goals as dem win Fifa Club World Cup and Coppa Italia.,The following season he was Inter Milan top scorer with 37 goals as they won Fifa Club World Cup and Coppa Italia.
Those feats see am win di fourth of e Caf African Player of the Year awards for 2010.,Those feats saw him win the fourth of his Caf African Player of the Year awards in 2010.
"Im move to England for di end of e career, and even though e no shine at dat point e still manage one memorable hat-trick for Chelsea against Manchester United.","His move to England at the end of his career, and even though he did not shine at that point he still manage a memorable hat-trick for Chelsea against Manchester United."
I no go fit continue to play like dat dis na wetin Seven time champion Serena Williams tok afta she crash comot from Australian Open on Friday morning and lose 6-4 6-7 (2-7) 7-5 to Wang Qiang from China for third round.,"I can not continue to play like this, said the seven time champion Serena Williams after she crash out from Australian Open on Friday morning and lose 6-4 6-7 (2-7) 7-5 to Wang Qiang from China in the third round."
I no fit play like dat.,I can not play like that.
I literally no fit do dat again.,I literally can not do that again.
E dey unprofessional.,It is unprofessional.
